t / s	DataSet / -	tstep / s	Line / -	Command / -	U / V	I / A	Ahstep / Ah	CycCount / -	State / -
20044.4917606667	3247	460.011521333333	9	Discharge	4.31315643753268	-0.0849984211545894	-0.0108613143640161	1	1
20049.492597	3248	465.012357666667	9	Discharge	4.31295440669107	-0.0849992934928658	-0.0109793893073294	1	1
20054.4939496667	3249	470.013710333332	9	Discharge	4.31295440669107	-0.084997548816313	-0.0110974764692762	1	1
20059.4942373333	3250	475.013998000001	9	Discharge	4.31275237584946	-0.084999729662004	-0.0112155384956937	1	1
20064.4956843333	3251	480.015445	9	Discharge	4.31275237584946	-0.084999729662004	-0.011333627882119	1	1
20069.4917643333	3252	485.011525	9	Discharge	4.31255034500785	-0.0850006020002804	-0.01145159054131	1	1
20074.4926226667	3253	490.012383333334	9	Discharge	4.31255034500785	-0.084999729662004	-0.0115696660144697	1	1
20079.4941316667	3254	495.013892333332	9	Discharge	4.31255034500785	-0.0849988573237276	-0.0116877568442956	1	1
20084.495494	3255	500.015254666666	9	Discharge	4.31255034500785	-0.0850001658311422	-0.0118058442504324	1	1
20089.4917553333	3256	505.011516000001	9	Discharge	4.31234831416624	-0.084999729662004	-0.0119238112070332	1	1
20094.4923943333	3257	510.012155000002	9	Discharge	4.31214628332463	-0.0849992934928658	-0.0120418815210029	1	1
20099.4927383334	3258	515.012499	9	Discharge	4.31214628332463	-0.0850006020002804	-0.0121599448635937	1	1
20104.4920386667	3259	520.011799333333	9	Discharge	4.31214628332463	-0.0849988573237276	-0.0122779835606047	1	1
20109.4926553333	3260	525.012415999999	9	Discharge	4.31194425248302	-0.0850006020002804	-0.0123960533372971	1	1
20114.492064	3261	530.011824666667	9	Discharge	4.31194425248302	-0.0850006020002804	-0.012514094596658	1	1
20119.491812	3262	535.011572666668	9	Discharge	4.31174222164141	-0.0849992934928658	-0.0126321438673652	1	1
20124.4930803333	3263	540.012840999998	9	Discharge	4.31174222164141	-0.0849984211545894	-0.0127502290108313	1	1
20129.49442	3264	545.014180666667	9	Discharge	4.31174222164141	-0.0849992934928658	-0.0128683158638983	1	1
20134.4946833334	3265	550.014444	9	Discharge	4.31174222164141	-0.0849992934928658	-0.0129863772818867	1	1
20139.495187	3266	555.014947666666	9	Discharge	4.3115401907998	-0.0849992934928658	-0.0131044443952973	1	1
20144.495692	3267	560.015452666667	9	Discharge	4.3115401907998	-0.084999729662004	-0.0132225115326527	1	1
20149.4933243333	3268	565.013085000001	9	Discharge	4.31133815995819	-0.0849992934928658	-0.0133405108336029	1	1
20154.4940396667	3269	570.013800333332	9	Discharge	4.31133815995819	-0.0849992934928658	-0.0134585829515046	1	1
20159.4935063333	3270	575.013267	9	Discharge	4.31133815995819	-0.0850010381694185	-0.0135766256339257	1	1
20164.4935533333	3271	580.013313999998	9	Discharge	4.31113612911658	-0.084997548816313	-0.013694681955936	1	1
20169.494333	3272	585.014093666665	9	Discharge	4.31093409827497	-0.0849992934928658	-0.0138127556091051	1	1
20174.494375	3273	590.014135666667	9	Discharge	4.31093409827497	-0.0850006020002804	-0.0139308118304024	1	1
20179.4940553333	3274	595.013816000002	9	Discharge	4.31093409827497	-0.0850010381694185	-0.0140488595424614	1	1
20184.493913	3275	600.013673666665	9	Discharge	4.31093409827497	-0.0850014743385567	-0.0141669114570871	1	1
20189.4947426667	3276	605.014503333332	9	Discharge	4.31093409827497	-0.0849984211545894	-0.0142849863156771	1	1
20194.4941853333	3277	610.013945999999	9	Discharge	4.31073206743336	-0.0849979849854512	-0.0144030284406853	1	1
20199.4946906667	3278	615.014451333335	9	Discharge	4.31073206743336	-0.0849992934928658	-0.0145210956441563	1	1
20204.4940656667	3279	620.013826333332	9	Discharge	4.31053003659175	-0.084999729662004	-0.0146391361125585	1	1
20209.4942386667	3280	625.013999333334	9	Discharge	4.31053003659175	-0.0849992934928658	-0.0147571954338971	1	1
20214.494931	3281	630.014691666668	9	Discharge	4.31032800575014	-0.084999729662004	-0.0148752670346765	1	1
20219.4944983333	3282	635.014258999999	9	Discharge	4.31032800575014	-0.0850001658311422	-0.0149933120382756	1	1
20224.4954333333	3283	640.015193999999	9	Discharge	4.31012597490853	-0.0849984211545894	-0.015111389323293	1	1
20229.4950786667	3284	645.014839333334	9	Discharge	4.31012597490853	-0.084999729662004	-0.0152294361716964	1	1
20234.494875	3285	650.014635666668	9	Discharge	4.31012597490853	-0.084999729662004	-0.0153474866159657	1	1
20239.4960193333	3286	655.015780000001	9	Discharge	4.31012597490853	-0.0850001658311422	-0.0154655688165048	1	1
20244.4964616667	3287	660.016222333333	9	Discharge	4.31012597490853	-0.085002386328573	-0.0155836345336903	1	1
20249.497998	3288	665.017758666666	9	Discharge	4.30992394406692	-0.0849988573237276	-0.0157017260514536	1	1
20254.496101	3289	670.015861666668	9	Discharge	4.30992394406692	-0.084999729662004	-0.0158197364995416	1	1
20259.4960176667	3290	675.015778333332	9	Discharge	4.30972191322531	-0.0850006020002804	-0.0159377897810096	1	1
20264.495756	3291	680.015516666666	9	Discharge	4.30972191322531	-0.0850001658311422	-0.0160558388128165	1	1
20269.496348	3292	685.016108666665	9	Discharge	4.3095198823837	-0.0849984211545894	-0.0161739080358198	1	1
20274.4966833333	3293	690.016443999998	9	Discharge	4.3095198823837	-0.084999729662004	-0.0162919711646636	1	1
20279.4960223333	3294	695.015782999999	9	Discharge	4.3095198823837	-0.0850001658311422	-0.0164100107824598	1	1
20284.497072	3295	700.016832666666	9	Discharge	4.30931785154209	-0.084999729662004	-0.0165280907910332	1	1
20289.496392	3296	705.016152666666	9	Discharge	4.30931785154209	-0.084999729662004	-0.0166461299690838	1	1
20294.4965306667	3297	710.016291333335	9	Discharge	4.30931785154209	-0.0849988573237276	-0.0167641884671645	1	1
20299.4970693333	3298	715.01683	9	Discharge	4.30911582070048	-0.0849992934928658	-0.0168822564055328	1	1
20304.4975133333	3299	720.017273999999	9	Discharge	4.30911582070048	-0.084999729662004	-0.0170003221123262	1	1
20309.4976496667	3300	725.017410333335	9	Discharge	4.30891378985887	-0.0849992934928658	-0.0171183805546125	1	1
20314.497385	3301	730.017145666667	9	Discharge	4.30911582070048	-0.0850006020002804	-0.0172364295288199	1	1
20319.4981463333	3302	735.017906999999	9	Discharge	4.30891378985887	-0.0849992934928658	-0.0173545027096956	1	1
20324.4994906667	3303	740.019251333333	9	Discharge	4.30871175901726	-0.0850006020002804	-0.0174725896692745	1	1
20329.5009456667	3304	745.020706333334	9	Discharge	4.30871175901726	-0.084999729662004	-0.0175906792310005	1	1
20334.4973953333	3305	750.017156	9	Discharge	4.30850972817565	-0.084999729662004	-0.0177086506082856	1	1
20339.4981123333	3306	755.017872999998	9	Discharge	4.30850972817565	-0.0849992934928658	-0.0178267227478048	1	1
20344.4975266667	3307	760.017287333333	9	Discharge	4.30850972817565	-0.0849984211545894	-0.0179447641328655	1	1
20349.4975143334	3308	765.017275	9	Discharge	4.30830769733404	-0.0850006020002804	-0.0180628190464989	1	1
20354.4982936667	3309	770.018054333335	9	Discharge	4.30830769733404	-0.0849979849854512	-0.0181808926585704	1	1
20359.4977283333	3310	775.017488999999	9	Discharge	4.30830769733404	-0.084999729662004	-0.0182989345304572	1	1
20364.4979073333	3311	780.017667999998	9	Discharge	4.30810566649243	-0.0850006020002804	-0.0184169939535433	1	1
20369.4977316667	3312	785.017492333333	9	Discharge	4.30810566649243	-0.084999729662004	-0.0185350450228084	1	1
20374.4987963333	3313	790.018557000001	9	Discharge	4.30810566649243	-0.085001910507695	-0.0186531254140125	1	1
